,brand,store,gu,dong,address_1,address_2,lat,lng
339,CU,대치역점,강남구,대치동,서울특별시 강남구 삼성로 223,서울특별시 강남구 삼성로 223,37.4968846,127.0616201
340,CU,대치예스점,강남구,대치동,서울특별시 강남구 선릉로86길 40,서울특별시 강남구 선릉로86길 40,37.503861,127.0529271
341,CU,대치예영점,강남구,대치동,서울특별시 강남구 삼성로63길 5,서울특별시 강남구 삼성로63길 5,37.499872,127.059668
342,CU,대치은마동문점,강남구,대치동,서울특별시 강남구 영동대로 219 정궁빌딩 (대치동) 정궁빌딩,서울특별시 강남구 영동대로 219 정궁빌딩 (대치동) 정궁빌딩,37.4983564,127.0682936
343,CU,대치은마센트럴점,강남구,대치동,서울특별시 강남구 삼성로 212 1층 124,서울특별시 강남구 삼성로 212 1층 124,37.4974176,127.0653272
344,CU,대치은마점,강남구,대치동,서울특별시 강남구 삼성로 237,서울특별시 강남구 삼성로 237,37.4983679,127.060863
345,CU,대치점,강남구,대치동,서울특별시 강남구 테헤란로98길 15,서울특별시 강남구 테헤란로98길 15,37.507379,127.0627588
346,CU,대치타운점,강남구,대치동,서울특별시 강남구 삼성로67길 49,서울특별시 강남구 삼성로67길 49,37.4999305,127.0556143
347,CU,대치타운중앙점,강남구,대치동,서울특별시 강남구 역삼로69길 28,서울특별시 강남구 역삼로69길 28,37.5035057,127.0541319
348,CU,대치태양점,강남구,대치동,서울특별시 강남구 선릉로68길 9,서울특별시 강남구 선릉로68길 9,37.49914330000001,127.0524738
349,CU,대치한국점,강남구,대치동,서울특별시 강남구 선릉로86길 7,서울특별시 강남구 선릉로86길 7,37.503303,127.0503179
350,CU,대치현대점,강남구,대치동,서울특별시 강남구 삼성로 308 성원빌딩,서울특별시 강남구 삼성로 308 성원빌딩,37.4990445,127.0604634
351,CU,컬쳐랜드타워점,강남구,대치동,서울특별시 강남구 영동대로 326 컬쳐랜드타워 B1층,서울특별시 강남구 영동대로 326 컬쳐랜드타워 B1층,37.5037712,127.0664647
352,CU,강남세브란스점,강남구,도곡동,서울특별시 강남구 언주로 211,서울특별시 강남구 언주로 211,37.4925494,127.0465277
353,CU,도곡대원점,강남구,도곡동,서울특별시 강남구 논현로28길 30,서울특별시 강남구 논현로28길 30,37.4835644,127.0447584
354,CU,도곡럭키점,강남구,도곡동,서울특별시 강남구 도곡로18길 11 보나빌딩 (도곡동) 보나빌딩,서울특별시 강남구 도곡로18길 11 보나빌딩 (도곡동) 보나빌딩,37.4905443,127.0383738
355,CU,도곡아이파크점,강남구,도곡동,서울특별시 강남구 도곡로28길 8 도곡1차아이파크아파트,서울특별시 강남구 도곡로28길 8 도곡1차아이파크아파트,37.4921212,127.0432091
356,CU,도곡아크로타워점,강남구,도곡동,서울특별시 강남구 언주로30길 13 (도곡동) 대림아크로텔 지하1층 지하상가동 20,서울특별시 강남구 언주로30길 13 (도곡동) 대림아크로텔 지하1층 지하상가동 20,37.4881202,127.0510778
357,CU,도곡우성점,강남구,도곡동,서울특별시 강남구 언주로 118,서울특별시 강남구 언주로 118,37.4865165,127.0518831
358,CU,매봉산점,강남구,도곡동,서울특별시 강남구 남부순환로377길 6,서울특별시 강남구 남부순환로377길 6,37.4869682,127.0452155
359,CU,매봉역점,강남구,도곡동,서울특별시 강남구 논현로38길 46 (도곡동),서울특별시 강남구 논현로38길 46 (도곡동),37.487246,127.0421157
360,CU,양재디오빌점,강남구,도곡동,서울특별시 강남구 강남대로 256,서울특별시 강남구 강남대로 256,37.4864768,127.0335278
361,CU,양재점,강남구,도곡동,서울특별시 강남구 강남대로 238 스카이쏠라빌딩 (도곡동) 스카이쏠라빌딩,서울특별시 강남구 강남대로 238 스카이쏠라빌딩 (도곡동) 스카이쏠라빌딩,37.4849651,127.0347587
362,CU,타워팰리스점,강남구,도곡동,서울특별시 강남구 언주로30길 56,서울특별시 강남구 언주로30길 56,37.4882228,127.0544393
